150.241.101.102:8443#EE [198.31ms]
213.111.181.20:8443#EE [198.94ms]
31.56.187.26:443#EE [200.47ms]
185.194.53.95:443#EE [201.9ms]
31.56.187.223:8443#EE [203.52ms]
188.190.18.31:443#EE [205.99ms]
188.255.236.84:8443#EE [207.31ms]
38.54.59.70:443#EG [282.34ms]
34.175.46.70:8443#ES [182.6ms]
34.175.202.195:443#ES [183.64ms]
188.213.5.74:443#ES [195.62ms]
5.134.119.210:443#ES [198.4ms]
187.33.159.49:443#ES [200.93ms]
212.227.90.142:443#ES [200.99ms]
185.47.131.138:8443#ES [213.26ms]
172.233.97.34:443#ES [217.11ms]
65.20.105.75:443#ES [222.98ms]
172.233.96.242:443#ES [223.75ms]
185.72.145.61:2087#FI [170.25ms]
135.106.130.62:8443#FI [171.0ms]
144.31.133.243:8443#FI [175.38ms]
93.123.30.73:8443#FI [176.89ms]
2.27.48.253:443#FI [177.61ms]
31.76.224.223:443#FI [178.03ms]
185.112.82.28:443#FI [178.28ms]
62.60.253.62:443#FI [178.9ms]
31.76.43.249:443#FI [180.18ms]
185.227.68.190:443#FI [180.51ms]
194.163.184.205:443#FR [156.41ms]
51.210.243.206:2053#FR [158.99ms]
13.140.170.145:443#FR [161.81ms]
92.222.71.48:443#FR [162.86ms]
45.112.194.91:8443#FR [163.05ms]
37.60.252.100:443#FR [163.13ms]
54.37.39.40:443#FR [164.07ms]
144.91.81.243:443#FR [164.13ms]
92.222.72.107:8443#FR [164.47ms]
89.208.97.224:2053#FR [164.98ms]
91.108.242.71:443#GB [153.43ms]
89.169.53.209:2053#GB [154.81ms]
213.165.44.27:8443#GB [158.63ms]
89.208.103.136:8443#GB [158.71ms]
62.60.216.151:443#GB [161.72ms]
213.176.67.23:443#GB [163.54ms]
193.41.5.121:443#GB [165.0ms]
45.133.209.28:443#GB [165.28ms]
57.128.176.87:8443#GB [167.24ms]
138.124.93.139:443#GB [168.96ms]
94.43.238.112:2053#GE [213.64ms]
94.43.238.112:2083#GE [225.59ms]
94.43.238.112:2087#GE [227.78ms]
91.250.248.223:443#GR [209.74ms]
85.90.197.53:443#GR [210.23ms]
85.90.197.157:443#GR [210.59ms]
85.90.197.156:443#GR [214.31ms]
85.90.197.158:443#GR [216.94ms]
91.250.248.68:443#GR [227.83ms]
85.90.197.159:443#GR [324.92ms]
47.76.171.37:8443#HK [39.37ms]
43.175.131.30:443#HK [优选高速 40.53ms]
149.104.12.254:443#HK [优选高速 45.41ms]
45.153.130.61:2053#HK [45.54ms]
149.104.6.130:443#HK [46.56ms]
45.153.130.61:8443#HK [49.71ms]
207.57.124.108:2083#HK [53.51ms]
38.147.173.136:443#HK [优选高速 54.45ms]
68.64.183.37:443#HK [55.24ms]
207.57.131.171:443#HK [55.27ms]
37.221.210.113:443#HU [192.21ms]
37.221.210.113:8443#HU [239.02ms]
38.180.225.247:2053#HU [242.06ms]
5.181.77.132:443#HU [249.41ms]
43.229.254.182:443#ID [216.65ms]
43.229.254.71:443#ID [231.68ms]
43.173.1.153:8443#ID [236.34ms]
147.139.189.225:443#ID [266.8ms]
172.232.246.133:8443#ID [284.93ms]
172.232.240.6:443#ID [295.32ms]
116.212.73.46:443#ID [383.17ms]
103.169.206.131:443#ID [383.47ms]
202.155.95.132:443#ID [390.84ms]
45.141.234.138:443#IE [192.86ms]
85.159.229.122:443#IE [202.49ms]
63.32.194.15:2053#IE [209.35ms]
196.197.21.2:8443#IE [215.03ms]
54.229.164.147:2053#IE [216.87ms]
63.32.194.15:8443#IE [254.28ms]
54.229.164.147:8443#IE [262.86ms]
108.128.156.233:443#IE [291.8ms]
198.55.103.168:443#IE [309.84ms]
23.95.225.10:2053#IE [328.23ms]
92.118.124.18:443#IL [260.8ms]
185.239.49.82:8443#IL [291.72ms]
185.253.75.119:443#IL [294.24ms]
85.209.157.30:443#IL [295.34ms]
185.241.7.178:443#IL [302.94ms]
85.209.157.33:443#IL [303.68ms]
192.71.27.237:443#IL [326.39ms]
172.232.118.174:443#IN [优选高速 136.15ms]
20.219.46.208:8443#IN [154.63ms]
65.2.215.47:8443#IN [205.87ms]
52.66.200.252:443#IN [206.52ms]
64.227.174.213:8443#IN [207.75ms]
5.253.30.225:443#IN [209.62ms]
5.253.29.241:2053#IN [210.5ms]
35.154.184.88:443#IN [212.61ms]
5.253.30.171:8443#IN [214.69ms]
168.144.155.167:443#IN [225.79ms]
193.151.133.15:8443#IR [235.44ms]
45.147.49.183:443#IS [217.94ms]
185.146.234.91:443#IS [226.84ms]
185.146.234.242:443#IS [258.36ms]
89.147.111.223:2053#IS [264.51ms]
195.246.231.187:8443#IS [269.58ms]
89.147.109.212:443#IS [278.9ms]
89.127.235.250:443#IS [288.67ms]
89.147.108.16:8443#IS [297.43ms]
195.162.68.79:443#IS [322.87ms]
195.246.230.132:443#IS [326.65ms]
213.109.192.6:8443#IT [174.79ms]
80.211.27.249:443#IT [192.8ms]
57.131.32.25:2053#IT [195.84ms]
80.211.24.141:443#IT [199.96ms]
83.229.6.134:443#IT [200.24ms]
179.255.190.24:443#IT [200.72ms]
66.245.204.103:443#IT [202.29ms]
31.14.140.155:443#IT [204.91ms]
80.211.24.32:443#IT [205.62ms]
179.255.190.5:443#IT [208.19ms]
104.238.150.161:443#JP [优选高速 66.03ms]
45.32.250.130:443#JP [优选高速 66.66ms]
118.25.185.127:8443#JP [66.77ms]
45.76.222.30:8443#JP [优选高速 66.94ms]
45.76.208.253:443#JP [优选高速 66.98ms]
45.77.24.82:443#JP [优选高速 67.26ms]
45.32.56.242:443#JP [优选高速 67.83ms]
45.32.57.54:8443#JP [优选高速 68.05ms]
198.13.33.64:443#JP [优选高速 68.19ms]
194.68.27.90:443#JP [优选高速 68.57ms]
95.215.244.116:443#KG [203.75ms]
178.219.159.88:443#KG [217.08ms]
188.240.213.98:2053#KG [246.54ms]
188.240.213.98:8443#KG [248.83ms]
38.54.4.209:443#KH [151.76ms]
47.80.57.116:443#KR [优选高速 66.08ms]
45.93.30.168:443#KR [72.91ms]
123.111.169.70:2083#KR [优选高速 75.53ms]
123.111.169.70:2053#KR [优选高速 76.55ms]
119.205.235.58:443#KR [83.75ms]
152.67.208.47:443#KR [优选高速 96.03ms]
152.67.198.36:443#KR [优选高速 97.45ms]
144.24.68.111:443#KR [优选高速 107.98ms]
130.94.29.155:443#KR [134.83ms]
193.122.96.190:443#KR [191.8ms]
94.131.83.94:443#KZ [179.85ms]
2.27.131.10:443#KZ [184.77ms]
5.39.253.54:443#KZ [191.92ms]
213.155.13.113:443#KZ [194.47ms]
92.60.75.129:2053#KZ [195.83ms]
213.155.29.177:443#KZ [202.2ms]
104.238.24.139:8443#KZ [202.95ms]
91.207.75.26:443#KZ [203.36ms]
46.8.254.32:443#KZ [205.33ms]
213.155.29.228:443#KZ [207.88ms]
213.189.221.242:8443#LT [148.53ms]
84.32.209.76:443#LT [181.37ms]
185.80.128.24:8443#LT [191.36ms]
72.56.5.222:443#LT [196.62ms]
185.80.128.20:443#LT [197.0ms]
213.183.55.153:8443#LT [202.66ms]
195.238.126.150:443#LT [202.8ms]
185.80.128.80:443#LT [203.81ms]
195.238.126.11:443#LT [205.45ms]
213.252.246.17:8443#LT [206.16ms]
195.20.208.18:443#LV [179.77ms]
195.123.212.222:2053#LV [181.45ms]
176.126.162.160:443#LV [181.97ms]
188.220.205.125:443#LV [182.99ms]
94.232.43.53:2083#LV [187.37ms]
188.220.205.59:443#LV [188.54ms]
185.237.218.22:443#LV [188.92ms]
195.20.208.4:443#LV [188.98ms]
195.123.209.135:443#LV [189.4ms]
195.123.211.161:443#LV [189.94ms]
217.156.67.86:443#MD [210.39ms]
213.232.235.54:8443#MD [217.67ms]
94.103.188.145:443#MD [224.77ms]
85.121.177.192:8443#MD [226.27ms]
194.180.191.123:443#MD [229.15ms]
80.96.113.48:443#MD [238.51ms]
85.121.176.226:443#MD [238.82ms]
217.156.65.62:443#MD [241.05ms]
194.180.191.249:443#MD [241.31ms]
5.181.158.96:443#MD [244.2ms]
195.144.24.34:443#MK [247.26ms]
89.185.82.188:443#MK [299.12ms]
45.202.246.91:8443#MO [优选高速 137.62ms]
216.238.82.140:8443#MX [230.9ms]
38.213.228.91:443#MX [240.24ms]
216.238.78.167:443#MX [247.27ms]
38.213.228.141:443#MX [247.61ms]
131.196.252.97:443#MX [268.5ms]
131.196.254.151:443#MX [273.99ms]
131.196.252.66:443#MX [274.22ms]
216.238.88.154:8443#MX [278.63ms]
131.196.254.212:443#MX [279.06ms]
131.196.253.141:443#MX [279.37ms]
45.194.27.99:443#MY [323.21ms]
216.173.67.59:443#MY [325.03ms]
102.130.48.155:2053#NG [286.21ms]
169.255.57.210:443#NG [294.19ms]
87.225.88.81:8443#NL [73.51ms]
213.165.41.51:443#NL [150.82ms]
213.165.38.7:8443#NL [155.57ms]
77.73.131.207:2053#NL [156.75ms]
94.228.162.201:2053#NL [156.91ms]
195.123.221.127:8443#NL [157.11ms]
178.173.254.136:443#NL [157.42ms]
195.123.221.129:8443#NL [157.64ms]
23.168.72.143:443#NL [157.81ms]
45.143.166.159:443#NL [159.75ms]
