185.231.204.186:443#ES [243.75ms]
94.131.117.4:8443#ES [255.09ms]
91.149.243.219:443#ES [283.76ms]
65.20.103.129:8443#ES [290.91ms]
45.86.229.131:8443#ES [293.13ms]
91.149.243.34:443#ES [293.36ms]
95.217.135.173:443#FI [219.05ms]
65.109.220.238:2053#FI [219.39ms]
37.27.113.239:443#FI [220.54ms]
46.62.164.121:443#FI [221.5ms]
157.180.70.122:443#FI [221.71ms]
65.109.134.63:2053#FI [222.67ms]
89.167.39.129:443#FI [223.36ms]
65.21.157.136:443#FI [223.74ms]
95.216.212.62:443#FI [223.91ms]
204.168.184.107:8443#FI [224.13ms]
152.228.135.204:8443#FR [201.51ms]
152.228.134.58:8443#FR [204.84ms]
51.77.141.71:2053#FR [211.11ms]
51.178.29.175:443#FR [211.29ms]
54.38.35.44:443#FR [212.03ms]
51.77.140.38:2053#FR [212.1ms]
152.228.135.141:2053#FR [214.48ms]
152.228.134.97:8443#FR [214.65ms]
152.228.135.238:2053#FR [214.75ms]
152.228.135.5:8443#FR [215.27ms]
57.129.137.61:8443#GB [209.25ms]
57.129.137.239:8443#GB [211.98ms]
57.129.137.65:443#GB [212.69ms]
57.128.177.206:8443#GB [213.25ms]
193.219.99.142:8443#GB [215.51ms]
57.129.137.226:8443#GB [216.39ms]
193.219.99.173:8443#GB [216.53ms]
193.219.99.214:8443#GB [216.85ms]
213.1.145.50:443#GB [218.0ms]
57.129.131.163:2053#GB [218.17ms]
91.250.248.151:443#GR [269.66ms]
38.54.29.210:2053#GR [376.6ms]
154.38.116.8:443#HK [40.5ms]
8.210.29.68:443#HK [50.6ms]
103.118.42.16:8443#HK [优选高速 50.81ms]
47.239.4.246:443#HK [51.75ms]
47.57.182.141:443#HK [优选高速 52.42ms]
47.239.4.246:2053#HK [52.55ms]
43.168.16.112:443#HK [优选高速 53.81ms]
47.239.4.246:8443#HK [54.23ms]
47.76.218.163:443#HK [54.71ms]
8.223.63.150:443#HK [54.76ms]
185.156.110.153:443#HR [239.63ms]
77.91.72.13:443#HU [231.65ms]
185.65.68.238:443#HU [237.38ms]
38.180.225.181:443#HU [249.63ms]
5.182.38.111:443#HU [268.45ms]
180.149.37.38:8443#HU [283.33ms]
91.219.236.202:2053#HU [370.31ms]
91.219.236.202:8443#HU [373.71ms]
91.219.238.217:8443#HU [1310.72ms]
43.218.77.16:443#ID [优选高速 91.18ms]
82.153.226.158:8443#ID [273.73ms]
156.244.1.250:8443#ID [299.5ms]
172.232.226.233:443#ID [364.04ms]
52.19.138.237:2053#IE [238.05ms]
52.19.138.237:8443#IE [242.37ms]
54.229.164.147:2053#IE [254.42ms]
194.87.245.135:8443#IE [279.06ms]
194.87.245.135:2053#IE [292.28ms]
85.159.229.122:443#IE [294.99ms]
107.172.145.153:443#IE [302.7ms]
64.176.167.56:8443#IL [248.67ms]
64.176.170.68:8443#IL [285.0ms]
94.131.114.73:443#IL [292.83ms]
192.71.27.237:443#IL [296.58ms]
80.178.58.56:443#IL [302.25ms]
94.131.114.70:443#IL [306.75ms]
45.144.172.33:443#IL [321.4ms]
185.162.127.54:443#IL [333.79ms]
185.239.48.217:443#IL [1281.35ms]
4.240.110.47:443#IN [141.85ms]
139.84.168.252:2053#IN [152.25ms]
20.235.105.146:443#IN [163.93ms]
20.235.220.189:443#IN [173.19ms]
65.20.84.107:443#IN [243.38ms]
45.89.105.65:2053#IN [292.27ms]
143.110.178.130:443#IN [392.56ms]
45.113.224.169:8443#IN [405.97ms]
139.84.221.153:8443#IN [419.32ms]
45.113.224.169:2053#IN [422.28ms]
185.247.226.138:443#IS [266.42ms]
45.83.21.10:8443#IS [267.61ms]
89.221.224.101:2053#IS [269.15ms]
151.236.24.54:443#IS [269.3ms]
45.83.21.111:8443#IS [282.36ms]
194.247.182.120:8443#IS [286.5ms]
89.221.224.101:8443#IS [292.29ms]
89.147.109.212:443#IS [315.05ms]
89.147.111.223:2053#IS [1315.16ms]
72.146.234.10:443#IT [229.5ms]
38.180.194.222:2053#IT [240.89ms]
194.165.59.20:443#IT [246.08ms]
83.229.6.134:443#IT [286.21ms]
172.238.238.203:2053#IT [291.23ms]
185.47.172.172:8443#IT [297.56ms]
45.92.70.176:8443#IT [300.84ms]
89.46.70.46:443#IT [315.33ms]
151.241.215.148:443#IT [353.16ms]
50.114.113.253:443#JP [83.1ms]
31.57.172.187:443#JP [83.6ms]
38.207.130.231:8443#JP [87.8ms]
47.245.62.4:8443#JP [91.59ms]
126.220.82.161:443#JP [97.34ms]
212.135.211.58:443#JP [101.37ms]
45.32.51.200:443#JP [139.66ms]
52.193.152.140:443#JP [146.08ms]
140.83.34.214:8443#JP [163.59ms]
64.176.36.61:443#JP [190.5ms]
38.54.4.209:443#KH [402.79ms]
152.67.208.8:443#KR [65.97ms]
103.78.133.103:443#KR [70.71ms]
168.107.13.136:8443#KR [73.95ms]
85.155.176.129:443#KR [78.15ms]
129.154.50.159:443#KR [84.05ms]
158.247.238.220:443#KR [226.94ms]
64.176.226.26:8443#KR [228.07ms]
158.247.240.204:8443#KR [252.73ms]
64.110.75.145:443#KR [319.63ms]
193.123.232.91:443#KR [324.26ms]
46.247.41.214:443#KZ [294.82ms]
91.217.10.241:443#KZ [296.84ms]
83.97.77.63:8443#KZ [300.25ms]
45.136.59.73:8443#KZ [302.97ms]
45.136.57.82:8443#KZ [304.44ms]
80.90.183.75:8443#KZ [304.72ms]
213.148.26.246:2053#KZ [310.65ms]
213.148.10.170:8443#KZ [310.98ms]
46.247.41.93:8443#KZ [311.42ms]
83.97.77.35:2053#KZ [311.87ms]
185.80.128.115:8443#LT [231.94ms]
103.113.69.63:443#LT [242.33ms]
5.199.162.130:443#LT [243.63ms]
94.131.14.72:443#LT [243.66ms]
45.12.136.53:443#LT [247.13ms]
5.199.173.195:443#LT [248.46ms]
94.131.13.110:443#LT [248.96ms]
103.231.72.240:443#LT [249.94ms]
